NRO_EXPEDIENTE,TIPO_RECLAMO,EMPRESA,FEC_NOT_EMP_ELE
0000001-2026/TRASU/ST-RA,RA,AMERICATEL PERÚ S.A.,09/01/2026
0000002-2026/TRASU/ST-RQJ,RQJ,ENTEL PERÚ S.A.,07/01/2026
0000004-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),09/01/2026
0000004-2026/TRASU/ST-RQJ,RQJ,VIETTEL PERU S.A.C.,09/01/2026
0000005-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000006-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000009-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),12/01/2026
0000010-2026/TRASU/ST-RA,RA,ENTEL PERÚ S.A.,08/01/2026
0000013-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),09/01/2026
0000014-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000015-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000016-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000024-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000028-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),07/01/2026
0000030-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),09/01/2026
0000032-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),09/01/2026
0000034-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000036-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000038-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000046-2026/TRASU/ST-RA,RA,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),08/01/2026
0000047-2026/TRASU/ST-RA,RA,AMERICA MOVIL PERU S.A.C.,09/01/2026
0000052-2026/TRASU/ST-RQJ,RQJ,INTEGRATEL PERÚ S.A.A. (ANTES TELEFÓNICA DEL PERÚ S.A.A.),09/01/2026
0000054-2026/TRASU/ST-RA,RA,AMERICA MOVIL PERU S.A.C.,09/01/2026
